Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds with the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2015,7,1,24,576192
2015,7,2,1,568799
2015,7,2,2,556995
2015,7,2,3,534316
2015,7,2,4,498248
2015,7,2,5,465215
2015,7,2,6,440381
2015,7,2,7,417250
2015,7,2,8,400531
2015,7,2,9,392712
2015,7,2,10,395143
2015,7,2,11,406496
2015,7,2,12,422322
2015,7,2,13,442981
2015,7,2,14,466188
2015,7,2,15,492199
2015,7,2,16,516810
2015,7,2,17,537645
2015,7,2,18,554831
2015,7,2,19,566993
2015,7,2,20,574425
2015,7,2,21,578282
2015,7,2,22,578665
2015,7,2,23,570757
2015,7,2,24,559350
2015,7,3,1,546862
2015,7,3,2,536223
2015,7,3,3,514215
2015,7,3,4,482295
2015,7,3,5,451587
2015,7,3,6,425922
2015,7,3,7,404408
2015,7,3,8,388286
2015,7,3,9,378816
2015,7,3,10,376310
2015,7,3,11,377994
2015,7,3,12,384815
2015,7,3,13,400842
2015,7,3,14,424896
2015,7,3,15,450731
2015,7,3,16,473531
2015,7,3,17,494434
2015,7,3,18,511932
2015,7,3,19,526314
2015,7,3,20,536807
2015,7,3,21,544655
2015,7,3,22,548223
2015,7,3,23,543629
2015,7,3,24,532838
2015,7,4,1,521823
2015,7,4,2,512043
2015,7,4,3,494053
2015,7,4,4,466200
2015,7,4,5,439256
2015,7,4,6,413400
2015,7,4,7,393549
2015,7,4,8,378580
2015,7,4,9,367742
2015,7,4,10,362346
2015,7,4,11,359517
2015,7,4,12,361218
2015,7,4,13,375369
2015,7,4,14,401452
2015,7,4,15,429789
2015,7,4,16,456804
2015,7,4,17,479678
2015,7,4,18,497613
2015,7,4,19,510318
2015,7,4,20,520287
2015,7,4,21,527527
2015,7,4,22,529356
2015,7,4,23,523536
2015,7,4,24,510538
2015,7,5,1,495200
2015,7,5,2,481478
2015,7,5,3,466106
2015,7,5,4,447476
2015,7,5,5,424782
2015,7,5,6,401678
2015,7,5,7,384114
2015,7,5,8,371083
2015,7,5,9,362218
2015,7,5,10,356908
2015,7,5,11,352967
2015,7,5,12,355500
2015,7,5,13,372561
2015,7,5,14,399338
2015,7,5,15,429474
2015,7,5,16,459093
2015,7,5,17,487026
2015,7,5,18,510888
2015,7,5,19,529103
2015,7,5,20,543070
2015,7,5,21,553060
2015,7,5,22,557792
2015,7,5,23,555669
2015,7,5,24,547017
2015,7,6,1,536402
2015,7,6,2,527973
2015,7,6,3,509723
2015,7,6,4,479030
2015,7,6,5,448503
2015,7,6,6,424263
2015,7,6,7,404500
2015,7,6,8,391483
2015,7,6,9,385490
2015,7,6,10,389934
2015,7,6,11,403016
2015,7,6,12,425358
2015,7,6,13,451653
2015,7,6,14,480821
2015,7,6,15,512423
2015,7,6,16,543634
2015,7,6,17,570916
2015,7,6,18,596964
2015,7,6,19,612846
2015,7,6,20,623022
2015,7,6,21,629036
2015,7,6,22,631458
2015,7,6,23,623843
2015,7,6,24,609915
2015,7,7,1,593752
2015,7,7,2,580531
2015,7,7,3,554588
2015,7,7,4,517574
2015,7,7,5,481833
2015,7,7,6,453015
2015,7,7,7,430152
2015,7,7,8,414296
2015,7,7,9,407433
2015,7,7,10,411363
2015,7,7,11,425530
2015,7,7,12,445957
2015,7,7,13,469319
2015,7,7,14,497007
2015,7,7,15,526566
2015,7,7,16,554721
2015,7,7,17,576135
2015,7,7,18,593656
2015,7,7,19,604615
2015,7,7,20,610358
2015,7,7,21,612074
2015,7,7,22,611510
2015,7,7,23,603136
2015,7,7,24,589713
2015,7,8,1,576982
2015,7,8,2,565755
2015,7,8,3,540956
2015,7,8,4,505904
2015,7,8,5,473417
2015,7,8,6,447252
2015,7,8,7,425695
2015,7,8,8,410324
2015,7,8,9,403462
2015,7,8,10,407137
2015,7,8,11,421310
2015,7,8,12,439160
2015,7,8,13,460703
2015,7,8,14,484703
2015,7,8,15,512183
2015,7,8,16,537945
2015,7,8,17,559731
2015,7,8,18,576985
2015,7,8,19,590209
2015,7,8,20,596730
2015,7,8,21,598654
2015,7,8,22,597091
2015,7,8,23,590835
2015,7,8,24,580089
2015,7,9,1,568192
2015,7,9,2,558463
2015,7,9,3,534912
2015,7,9,4,501164
2015,7,9,5,469879
2015,7,9,6,443589
2015,7,9,7,422474
2015,7,9,8,407102
2015,7,9,9,400252
2015,7,9,10,404771
2015,7,9,11,419654
2015,7,9,12,438188
2015,7,9,13,459857
2015,7,9,14,485880
2015,7,9,15,514332
2015,7,9,16,541687
2015,7,9,17,563835
2015,7,9,18,583341
2015,7,9,19,597707
2015,7,9,20,607854
2015,7,9,21,614291
2015,7,9,22,615607
2015,7,9,23,608607
2015,7,9,24,595388
2015,7,10,1,580182
2015,7,10,2,566596
2015,7,10,3,541983
2015,7,10,4,507462
2015,7,10,5,474025
2015,7,10,6,448615
2015,7,10,7,425211
2015,7,10,8,408758
2015,7,10,9,400655
2015,7,10,10,403259
2015,7,10,11,414930
2015,7,10,12,433673
2015,7,10,13,456761
2015,7,10,14,486062
2015,7,10,15,516786
2015,7,10,16,545995
2015,7,10,17,568658
2015,7,10,18,588240
2015,7,10,19,603610
2015,7,10,20,613306
2015,7,10,21,619659
2015,7,10,22,620013
2015,7,10,23,611305
2015,7,10,24,594636
2015,7,11,1,574172
2015,7,11,2,558742
2015,7,11,3,535759
2015,7,11,4,502911
2015,7,11,5,470843
2015,7,11,6,441834
2015,7,11,7,419904
2015,7,11,8,402805
2015,7,11,9,391687
2015,7,11,10,386828
2015,7,11,11,386457
2015,7,11,12,393106
2015,7,11,13,415557
2015,7,11,14,446861
2015,7,11,15,481860
2015,7,11,16,514704
2015,7,11,17,541390
2015,7,11,18,561652
2015,7,11,19,576553
2015,7,11,20,587536
2015,7,11,21,595232
2015,7,11,22,597652
2015,7,11,23,592528
2015,7,11,24,579687
2015,7,12,1,563209
2015,7,12,2,551017
2015,7,12,3,529717
2015,7,12,4,498939
2015,7,12,5,467961
2015,7,12,6,440356
2015,7,12,7,417711
2015,7,12,8,400268
2015,7,12,9,388774
2015,7,12,10,382675
2015,7,12,11,379615
