BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,1,123806
2015,7,2,2,121420
2015,7,2,3,118178
2015,7,2,4,115351
2015,7,2,5,111329
2015,7,2,6,105180
2015,7,2,7,96775
2015,7,2,8,89431
2015,7,2,9,84346
2015,7,2,10,80650
2015,7,2,11,78795
2015,7,2,12,78510
2015,7,2,13,80528
2015,7,2,14,84097
2015,7,2,15,89646
2015,7,2,16,95837
2015,7,2,17,101207
2015,7,2,18,105909
2015,7,2,19,110346
2015,7,2,20,114084
2015,7,2,21,117664
2015,7,2,22,120832
2015,7,2,23,123352
2015,7,2,24,124607
2015,7,3,1,124527
2015,7,3,2,121649
2015,7,3,3,117614
2015,7,3,4,113598
2015,7,3,5,109496
2015,7,3,6,103152
2015,7,3,7,95256
2015,7,3,8,88283
2015,7,3,9,83022
2015,7,3,10,79287
2015,7,3,11,76926
2015,7,3,12,76280
2015,7,3,13,76600
2015,7,3,14,77932
2015,7,3,15,81324
2015,7,3,16,85716
2015,7,3,17,90896
2015,7,3,18,95526
2015,7,3,19,99641
2015,7,3,20,103403
2015,7,3,21,107184
2015,7,3,22,110571
2015,7,3,23,113416
2015,7,3,24,115900
2015,7,4,1,116937
2015,7,4,2,115455
2015,7,4,3,112628
2015,7,4,4,108792
2015,7,4,5,104948
2015,7,4,6,99647
2015,7,4,7,92828
2015,7,4,8,86238
2015,7,4,9,80911
2015,7,4,10,77189
2015,7,4,11,75168
2015,7,4,12,73737
2015,7,4,13,72922
2015,7,4,14,73982
2015,7,4,15,76605
2015,7,4,16,81301
2015,7,4,17,86847
2015,7,4,18,91969
2015,7,4,19,96066
2015,7,4,20,99619
2015,7,4,21,102942
2015,7,4,22,105594
2015,7,4,23,107275
2015,7,4,24,108649
2015,7,5,1,108470
2015,7,5,2,106640
2015,7,5,3,103332
2015,7,5,4,99527
2015,7,5,5,96143
2015,7,5,6,91880
2015,7,5,7,87814
2015,7,5,8,82713
2015,7,5,9,78210
2015,7,5,10,75013
2015,7,5,11,72875
2015,7,5,12,71922
2015,7,5,13,71331
2015,7,5,14,71843
2015,7,5,15,74175
2015,7,5,16,78592
2015,7,5,17,83688
2015,7,5,18,88246
2015,7,5,19,92204
2015,7,5,20,95711
2015,7,5,21,98182
2015,7,5,22,99280
2015,7,5,23,100678
2015,7,5,24,102811
2015,7,6,1,103901
2015,7,6,2,103401
2015,7,6,3,101881
2015,7,6,4,99707
2015,7,6,5,96819
2015,7,6,6,91635
2015,7,6,7,84866
2015,7,6,8,79272
2015,7,6,9,75027
2015,7,6,10,72983
2015,7,6,11,71851
2015,7,6,12,72488
2015,7,6,13,74763
2015,7,6,14,78632
2015,7,6,15,83609
2015,7,6,16,88898
2015,7,6,17,93468
2015,7,6,18,97416
2015,7,6,19,101205
2015,7,6,20,103924
2015,7,6,21,106383
2015,7,6,22,108771
2015,7,6,23,110642
2015,7,6,24,112127
2015,7,7,1,112412
2015,7,7,2,110813
2015,7,7,3,108290
2015,7,7,4,105184
2015,7,7,5,101453
2015,7,7,6,95585
2015,7,7,7,87626
2015,7,7,8,81238
2015,7,7,9,77097
2015,7,7,10,74731
2015,7,7,11,73361
2015,7,7,12,73659
2015,7,7,13,75632
2015,7,7,14,79642
2015,7,7,15,84589
2015,7,7,16,89421
2015,7,7,17,93323
2015,7,7,18,96977
2015,7,7,19,100531
2015,7,7,20,103092
2015,7,7,21,105066
2015,7,7,22,107850
2015,7,7,23,109560
2015,7,7,24,111425
2015,7,8,1,111780
2015,7,8,2,109932
2015,7,8,3,107314
2015,7,8,4,104294
2015,7,8,5,100306
2015,7,8,6,94464
2015,7,8,7,87141
2015,7,8,8,81037
2015,7,8,9,76644
2015,7,8,10,73828
2015,7,8,11,72370
2015,7,8,12,72962
2015,7,8,13,74881
2015,7,8,14,77960
2015,7,8,15,82636
2015,7,8,16,87279
2015,7,8,17,91288
2015,7,8,18,94876
2015,7,8,19,98177
2015,7,8,20,100500
2015,7,8,21,102543
2015,7,8,22,104416
2015,7,8,23,105826
2015,7,8,24,107053
2015,7,9,1,107052
2015,7,9,2,105757
2015,7,9,3,103487
2015,7,9,4,101111
2015,7,9,5,97988
2015,7,9,6,92498
2015,7,9,7,85352
2015,7,9,8,79331
2015,7,9,9,75247
2015,7,9,10,72618
2015,7,9,11,71653
2015,7,9,12,72162
2015,7,9,13,73764
2015,7,9,14,76862
2015,7,9,15,81050
2015,7,9,16,85608
2015,7,9,17,89689
2015,7,9,18,93141
2015,7,9,19,95753
2015,7,9,20,97979
2015,7,9,21,99629
2015,7,9,22,101249
2015,7,9,23,102012
2015,7,9,24,102443
2015,7,10,1,102209
2015,7,10,2,100526
2015,7,10,3,98729
2015,7,10,4,96938
2015,7,10,5,94650
2015,7,10,6,89471
2015,7,10,7,83069
2015,7,10,8,77905
2015,7,10,9,74366
2015,7,10,10,71971
2015,7,10,11,70734
2015,7,10,12,71083
2015,7,10,13,72989
2015,7,10,14,76453
2015,7,10,15,80953
2015,7,10,16,85498
2015,7,10,17,89391
2015,7,10,18,92661
2015,7,10,19,94956
2015,7,10,20,96660
2015,7,10,21,98005
2015,7,10,22,99155
2015,7,10,23,100038
2015,7,10,24,100639
2015,7,11,1,100316
2015,7,11,2,98747
2015,7,11,3,97017
2015,7,11,4,95293
2015,7,11,5,93387
2015,7,11,6,88934
2015,7,11,7,83116
2015,7,11,8,78103
2015,7,11,9,74448
2015,7,11,10,71439
2015,7,11,11,69595
2015,7,11,12,69070
2015,7,11,13,69352
2015,7,11,14,70828
2015,7,11,15,73931
2015,7,11,16,78555
2015,7,11,17,83005
2015,7,11,18,87093
2015,7,11,19,90061
2015,7,11,20,92284
2015,7,11,21,94138
2015,7,11,22,96167
2015,7,11,23,97423
2015,7,11,24,98740
2015,7,12,1,98889
2015,7,12,2,97968
2015,7,12,3,95939
2015,7,12,4,94057
2015,7,12,5,91596
2015,7,12,6,87512
2015,7,12,7,81919
2015,7,12,8,76858
2015,7,12,9,73207
2015,7,12,10,70665
2015,7,12,11,68917
2015,7,12,12,67912
2015,7,12,13,67695
2015,7,12,14,68639
2015,7,12,15,70871
2015,7,12,16,74729
2015,7,12,17,79856
2015,7,12,18,84012
2015,7,12,19,87803
2015,7,12,20,91317
2015,7,12,21,94477
2015,7,12,22,97329
2015,7,12,23,100144
2015,7,12,24,102217
2015,7,13,1,102946
2015,7,13,2,102367
2015,7,13,3,100920
2015,7,13,4,98325
2015,7,13,5,95618
2015,7,13,6,90540
2015,7,13,7,84005
2015,7,13,8,78403
2015,7,13,9,74352
2015,7,13,10,72181
2015,7,13,11,71100
2015,7,13,12,71934
2015,7,13,13,74202
2015,7,13,14,78096
2015,7,13,15,82837
2015,7,13,16,88131
2015,7,13,17,93071
2015,7,13,18,97907
2015,7,13,19,101997
2015,7,13,20,105840
2015,7,13,21,109279
2015,7,13,22,112221
2015,7,13,23,114493
2015,7,13,24,115336
2015,7,14,1,114878
2015,7,14,2,112634
2015,7,14,3,109268
2015,7,14,4,105807
2015,7,14,5,101979
2015,7,14,6,95371
2015,7,14,7,87649
2015,7,14,8,81254
2015,7,14,9,77137
2015,7,14,10,74620
2015,7,14,11,73098
2015,7,14,12,73384
2015,7,14,13,75671
2015,7,14,14,79702
2015,7,14,15,83952
2015,7,14,16,88511
2015,7,14,17,93176
2015,7,14,18,97174
2015,7,14,19,101361
2015,7,14,20,105409
2015,7,14,21,108288
2015,7,14,22,111569
2015,7,14,23,113315
2015,7,14,24,114519
2015,7,15,1,114428
2015,7,15,2,112213
2015,7,15,3,109154
2015,7,15,4,105783
2015,7,15,5,101682
2015,7,15,6,95451
2015,7,15,7,87381
2015,7,15,8,81042
2015,7,15,9,76718
2015,7,15,10,73921
2015,7,15,11,72904
2015,7,15,12,73348
2015,7,15,13,75226
2015,7,15,14,79093
2015,7,15,15,83389
2015,7,15,16,87853
2015,7,15,17,92004
2015,7,15,18,95365
2015,7,15,19,99199
2015,7,15,20,102510
2015,7,15,21,105649
2015,7,15,22,109245
2015,7,15,23,111571
2015,7,15,24,113398
2015,7,16,1,113762
2015,7,16,2,112803
2015,7,16,3,110405
2015,7,16,4,106991
2015,7,16,5,102731
2015,7,16,6,96319
2015,7,16,7,88224
2015,7,16,8,81776
2015,7,16,9,77191
2015,7,16,10,74383
2015,7,16,11,72831
2015,7,16,12,73225
2015,7,16,13,75279
2015,7,16,14,78887
2015,7,16,15,83462
2015,7,16,16,88430
2015,7,16,17,92869
2015,7,16,18,96978
2015,7,16,19,100931
2015,7,16,20,105074
2015,7,16,21,108867
2015,7,16,22,112237
2015,7,16,23,114761
2015,7,16,24,115929
2015,7,17,1,115585
2015,7,17,2,113935
2015,7,17,3,111195
2015,7,17,4,107241
2015,7,17,5,103119
2015,7,17,6,96795
2015,7,17,7,89141
2015,7,17,8,82662
2015,7,17,9,78208
2015,7,17,10,75347
2015,7,17,11,73655
2015,7,17,12,74153
2015,7,17,13,75958
2015,7,17,14,78964
2015,7,17,15,83608
