BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,1,394745
2015,7,2,2,387042
2015,7,2,3,368121
2015,7,2,4,338220
2015,7,2,5,312999
2015,7,2,6,297745
2015,7,2,7,285357
2015,7,2,8,277538
2015,7,2,9,275655
2015,7,2,10,281917
2015,7,2,11,294279
2015,7,2,12,308668
2015,7,2,13,325865
2015,7,2,14,342924
2015,7,2,15,360170
2015,7,2,16,375282
2015,7,2,17,387844
2015,7,2,18,397724
2015,7,2,19,403000
2015,7,2,20,404951
2015,7,2,21,403797
2015,7,2,22,400232
2015,7,2,23,390683
2015,7,2,24,379566
2015,7,3,1,369519
2015,7,3,2,363458
2015,7,3,3,346673
2015,7,3,4,322069
2015,7,3,5,298670
2015,7,3,6,282656
2015,7,3,7,271145
2015,7,3,8,263747
2015,7,3,9,260523
2015,7,3,10,262048
2015,7,3,11,265652
2015,7,3,12,272600
2015,7,3,13,287912
2015,7,3,14,308026
2015,7,3,15,327414
2015,7,3,16,342580
2015,7,3,17,355431
2015,7,3,18,365896
2015,7,3,19,374422
2015,7,3,20,380049
2015,7,3,21,383345
2015,7,3,22,383178
2015,7,3,23,376051
2015,7,3,24,364077
2015,7,4,1,354209
2015,7,4,2,347647
2015,7,4,3,333503
2015,7,4,4,311965
2015,7,4,5,291650
2015,7,4,6,274210
2015,7,4,7,263298
2015,7,4,8,256630
2015,7,4,9,252128
2015,7,4,10,251078
2015,7,4,11,250479
2015,7,4,12,253590
2015,7,4,13,268011
2015,7,4,14,290222
2015,7,4,15,312228
2015,7,4,16,330462
2015,7,4,17,344372
2015,7,4,18,354422
2015,7,4,19,361286
2015,7,4,20,366332
2015,7,4,21,369739
2015,7,4,22,368961
2015,7,4,23,361753
2015,7,4,24,348849
2015,7,5,1,335919
2015,7,5,2,326272
2015,7,5,3,315902
2015,7,5,4,303146
2015,7,5,5,285837
2015,7,5,6,269373
2015,7,5,7,258071
2015,7,5,8,251878
2015,7,5,9,248786
2015,7,5,10,247336
2015,7,5,11,245867
2015,7,5,12,249683
2015,7,5,13,266749
2015,7,5,14,290258
2015,7,5,15,314387
2015,7,5,16,335996
2015,7,5,17,355487
2015,7,5,18,371885
2015,7,5,19,383948
2015,7,5,20,392725
2015,7,5,21,399268
2015,7,5,22,402084
2015,7,5,23,398545
2015,7,5,24,388749
2015,7,6,1,378765
2015,7,6,2,372492
2015,7,6,3,356522
2015,7,6,4,330865
2015,7,6,5,306984
2015,7,6,6,290902
2015,7,6,7,279921
2015,7,6,8,274027
2015,7,6,9,273082
2015,7,6,10,279620
2015,7,6,11,292727
2015,7,6,12,312829
2015,7,6,13,335644
2015,7,6,14,358697
2015,7,6,15,382202
2015,7,6,16,404929
2015,7,6,17,424563
2015,7,6,18,444306
2015,7,6,19,454186
2015,7,6,20,460358
2015,7,6,21,463123
2015,7,6,22,462850
2015,7,6,23,453981
2015,7,6,24,440019
2015,7,7,1,425602
2015,7,7,2,415694
2015,7,7,3,393352
2015,7,7,4,362784
2015,7,7,5,334898
2015,7,7,6,315406
2015,7,7,7,302681
2015,7,7,8,294496
2015,7,7,9,292485
2015,7,7,10,298744
2015,7,7,11,312942
2015,7,7,12,331392
2015,7,7,13,351560
2015,7,7,14,373308
2015,7,7,15,395385
2015,7,7,16,415643
2015,7,7,17,430713
2015,7,7,18,442894
2015,7,7,19,448685
2015,7,7,20,450577
2015,7,7,21,449829
2015,7,7,22,446697
2015,7,7,23,437759
2015,7,7,24,423942
2015,7,8,1,412496
2015,7,8,2,403938
2015,7,8,3,382594
2015,7,8,4,353412
2015,7,8,5,328408
2015,7,8,6,311149
2015,7,8,7,298948
2015,7,8,8,290987
2015,7,8,9,289171
2015,7,8,10,295762
2015,7,8,11,310131
2015,7,8,12,326020
2015,7,8,13,344518
2015,7,8,14,363757
2015,7,8,15,384310
2015,7,8,16,402682
2015,7,8,17,418207
2015,7,8,18,430353
2015,7,8,19,438998
2015,7,8,20,442237
2015,7,8,21,441413
2015,7,8,22,437458
2015,7,8,23,429911
2015,7,8,24,418850
2015,7,9,1,408493
2015,7,9,2,401434
2015,7,9,3,380987
2015,7,9,4,352607
2015,7,9,5,327993
2015,7,9,6,310433
2015,7,9,7,298485
2015,7,9,8,290480
2015,7,9,9,288544
2015,7,9,10,295814
2015,7,9,11,310602
2015,7,9,12,327196
2015,7,9,13,345980
2015,7,9,14,366475
2015,7,9,15,387675
2015,7,9,16,407160
2015,7,9,17,422530
2015,7,9,18,435965
2015,7,9,19,445267
2015,7,9,20,450962
2015,7,9,21,454236
2015,7,9,22,453253
2015,7,9,23,445906
2015,7,9,24,433746
2015,7,10,1,421298
2015,7,10,2,411603
2015,7,10,3,390413
2015,7,10,4,361339
