BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,2,1,50171
2015,7,2,2,48655
2015,7,2,3,47667
2015,7,2,4,44629
2015,7,2,5,40754
2015,7,2,6,37547
2015,7,2,7,35199
2015,7,2,8,33637
2015,7,2,9,32759
2015,7,2,10,32536
2015,7,2,11,33527
2015,7,2,12,35196
2015,7,2,13,36637
2015,7,2,14,39221
2015,7,2,15,42398
2015,7,2,16,45675
2015,7,2,17,48667
2015,7,2,18,51260
2015,7,2,19,53719
2015,7,2,20,55525
2015,7,2,21,56836
2015,7,2,22,57505
2015,7,2,23,56807
2015,7,2,24,55044
2015,7,3,1,52776
2015,7,3,2,50986
2015,7,3,3,49845
2015,7,3,4,46817
2015,7,3,5,43307
2015,7,3,6,40173
2015,7,3,7,37954
2015,7,3,8,36353
2015,7,3,9,35346
2015,7,3,10,34981
2015,7,3,11,35402
2015,7,3,12,35919
2015,7,3,13,36447
2015,7,3,14,38820
2015,7,3,15,42009
2015,7,3,16,45201
2015,7,3,17,48116
2015,7,3,18,50501
2015,7,3,19,52232
2015,7,3,20,53443
2015,7,3,21,54180
2015,7,3,22,54510
2015,7,3,23,54028
2015,7,3,24,52732
2015,7,4,1,50673
2015,7,4,2,49028
2015,7,4,3,47940
2015,7,4,4,45385
2015,7,4,5,42470
2015,7,4,6,39566
2015,7,4,7,37379
2015,7,4,8,35757
2015,7,4,9,34698
2015,7,4,10,34057
2015,7,4,11,33939
2015,7,4,12,33910
2015,7,4,13,34456
2015,7,4,14,37333
2015,7,4,15,41075
2015,7,4,16,45018
2015,7,4,17,48470
2015,7,4,18,51173
2015,7,4,19,52980
2015,7,4,20,54226
2015,7,4,21,54755
2015,7,4,22,54722
2015,7,4,23,54308
2015,7,4,24,52974
2015,7,5,1,50742
2015,7,5,2,48474
2015,7,5,3,46782
2015,7,5,4,44767
2015,7,5,5,42872
2015,7,5,6,40437
2015,7,5,7,38209
2015,7,5,8,36459
2015,7,5,9,35240
2015,7,5,10,34500
2015,7,5,11,34275
2015,7,5,12,33984
2015,7,5,13,34489
2015,7,5,14,37297
2015,7,5,15,40940
2015,7,5,16,44533
2015,7,5,17,47856
2015,7,5,18,50701
2015,7,5,19,52879
2015,7,5,20,54568
2015,7,5,21,55685
2015,7,5,22,56335
2015,7,5,23,56405
2015,7,5,24,55512
2015,7,6,1,53679
2015,7,6,2,52057
