time (hr),demand (kW),solar capacity factor (kW),wind capacity factor (kW),dispatch solar (kW per unit deployed),dispatch wind (kW per unit deployed),dispatch natgas (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW),price ($/kWh)
0.0,1.0387032264811307,0.00233589,0.489697811,0.00027478777766797854,0.2943447516697466,0.1301782874423524,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
1.0,1.042828507922239,0.0,0.497820685,0.0,0.2992272021865095,0.12969590614436585,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
2.0,1.0149995439386235,0.0,0.503230723,0.0,0.3024790367993334,0.09861510754792634,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
3.0,0.9965781807332512,0.0,0.509290041,0.0,0.3061211369107387,0.07655164423114887,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
4.0,0.9745299515651223,0.0,0.507399098,0.0,0.30498453973743295,0.055640012236325746,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
5.0,0.9327342160261554,0.0,0.493710266,0.0,0.29675653510849476,0.022072281326296996,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
6.0,0.9095512012868037,0.0,0.469856928,0.0,0.2824189075096151,0.01322689418582495,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
7.0,0.886096726983435,0.0,0.445695679,0.0,0.26789620253281893,0.004295124859252472,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
8.0,0.8645980904409468,0.0,0.422016964,0.0,0.25366353632526323,0.0,0.6109345541156836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029708454756800537,0.0,4.400055000000001e-09
9.0,0.8545007175900339,0.0,0.402636474,0.0,0.24201442254907768,0.0,0.6124862950409563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014191045504073486,0.0,4.400055000000001e-09
10.0,0.8507692735001141,0.0,0.39048308,0.0,0.2347093301869748,0.0021545437217756957,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
11.0,0.8588841076002471,0.0,0.383414637,0.0,0.23046067100820883,0.014518037000674713,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
12.0,0.8701652183371611,0.001713511,0.370354595,0.00020157279653563973,0.22261061586616845,0.033447630083093385,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
13.0,0.8873338658493106,0.022835818,0.353402923,0.0026863438258866736,0.2124214020834117,0.05832072034864864,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
14.0,0.9071214232050357,0.07177203,0.351978638,0.00844306736294067,0.21156530102432014,0.07320765522641132,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
15.0,0.9358070396982502,0.156272327,0.35474052,0.018383453607547284,0.21322539721664543,0.09029278928269387,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
16.0,0.9612262510925412,0.254172169,0.355558635,0.029900126060970273,0.2137171450887067,0.10370358035150064,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
17.0,0.9760051735076591,0.326898601,0.364141626,0.038455466692164965,0.21887616009291846,0.10476814713121212,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
18.0,0.9804174893402825,0.355445266,0.364137457,0.04181361910310137,0.21887365421430896,0.10582481643150848,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
19.0,0.9750261422109637,0.337477858,0.344982956,0.039699981853584546,0.20736037661012766,0.1140603841558879,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
20.0,0.9625279181006176,0.277657425,0.306721484,0.03266286801551589,0.18436239046156597,0.13159726003217204,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
21.0,0.9547334938794306,0.188480083,0.265579304,0.02217228685522269,0.15963288487010235,0.15902292256274198,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
22.0,0.9590301064224136,0.098816494,0.246162472,0.011624504913844886,0.14796192685298923,0.18553827506421583,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
23.0,0.9907974459177648,0.032117527,0.237900573,0.003778218952314234,0.142995911986577,0.2301179153875099,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
24.0,1.0242981159247575,0.002538671,0.229780602,0.0002986423856945938,0.13811520638840444,0.2719788675592948,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
25.0,1.0374215849654975,0.0,0.220649176,0.0,0.13262654121983447,0.29088964415429946,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
26.0,1.0358128590733873,0.0,0.211841671,0.0,0.12733257662815886,0.2945748828538648,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
27.0,1.0288239102145107,0.0,0.207879237,0.0,0.124950859525205,0.2899676510979421,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
28.0,1.0030397872914412,0.0,0.203906823,0.0,0.12256314370108949,0.266571243998988,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
29.0,0.9681773737990412,0.0,0.201541219,0.0,0.12114124001622913,0.23313073419144847,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
30.0,0.9301553591673162,0.0,0.201282033,0.0,0.1209854499818598,0.19526450959409272,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
31.0,0.9052857393987411,0.0,0.200577512,0.0,0.12056198053982237,0.17081835926755506,0.6139053995913637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
