time (hr),demand (kW),solar capacity factor (kW),wind capacity factor (kW),dispatch solar (kW per unit deployed),dispatch wind (kW per unit deployed),dispatch natgas (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW),price ($/kWh)
0.0,1.0387032264811307,0.00233589,0.489697811,0.0006563769953452531,0.9426228571449023,0.0,0.09542399234088306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
1.0,1.042828507922239,0.0,0.497820685,0.0,0.9582586360397932,0.0,0.0845698718824458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
2.0,1.0149995439386235,0.0,0.503230723,0.0,0.9686724573031733,0.0,0.04632708663545007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
3.0,0.9965781807332512,0.0,0.509290041,0.0,0.9803360823331604,0.0,0.01624209840009082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
4.0,0.9745299515651223,0.0,0.507399098,0.0,0.9745299515651223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00216624091490979,0.0,0.0,2.1e-09
5.0,0.9327342160261554,0.0,0.493710266,0.0,0.9327342160261554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017612244760229004,0.0,0.0,2.1e-09
6.0,0.9095512012868037,0.0,0.469856928,0.0,0.9044309979990633,0.0,0.005120203287740356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
7.0,0.886096726983435,0.0,0.445695679,0.0,0.8579228351014975,0.0,0.028173891881937623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
8.0,0.8645980904409468,0.0,0.422016964,0.0,0.8123435053894847,0.0,0.052254585051462035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
9.0,0.8545007175900339,0.0,0.402636474,0.0,0.7750378600582088,0.0,0.07946285753182507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
10.0,0.8507692735001141,0.0,0.39048308,0.0,0.7516437040727173,0.0,0.09912556942739685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
11.0,0.8588841076002471,0.0,0.383414637,0.0,0.7380376070337705,0.0,0.12084650056647668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
12.0,0.8701652183371611,0.001713511,0.370354595,0.00048149065310054836,0.7128982377575774,0.0,0.15678548992648317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
13.0,0.8873338658493106,0.022835818,0.353402923,0.006416785724109888,0.6802678417560252,0.0,0.20064923836917567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
14.0,0.9071214232050357,0.07177203,0.351978638,0.0201676917154615,0.6775262252612588,0.0,0.20942750622831544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
15.0,0.9358070396982502,0.156272327,0.35474052,0.043911982350141,0.6828425918927956,0.0,0.20905246545531359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
16.0,0.9612262510925412,0.254172169,0.355558635,0.07142149869583152,0.6844173873716611,0.0,0.2053873650250486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
17.0,0.9760051735076591,0.326898601,0.364141626,0.0918573740659649,0.7009388488067193,0.0,0.18320895063497497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
18.0,0.9804174893402825,0.355445266,0.364137457,0.0998788880070441,0.7009308238684756,0.0,0.1796077774647628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
19.0,0.9750261422109637,0.337477858,0.344982956,0.09483010862223477,0.6640601863973088,0.0,0.21613584719142018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
20.0,0.9625279181006176,0.277657425,0.306721484,0.07802077424741746,0.5904104022956403,0.0,0.2940967415575597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
21.0,0.9547334938794306,0.188480083,0.265579304,0.052962250175292463,0.5112155225358658,0.0,0.3905557211682725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293104885
22.0,0.9590301064224136,0.098816494,0.246162472,0.02776709238117901,0.4738399222260195,0.0019846606094861452,0.45543843120572886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
