case name,fixed cost natgas ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (kW),capacity factor wind series (kW),capacity natgas (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW)
renew100nuc100,-1.0,0.0195287,0.0206486,0.0722039,-1.0,-1.0,0.029679,1e-08,1.05e-08,1.1e-08,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.2118809029348274,0.7260867027982948,1.3963841000698969,0.0,0.0,0.0,0.0,0.11995482123217087,optimal,0.0,0.04138599887049293,0.26004915886777036,0.6985648422617367,0.0,0.0,0.0,0.0,0.0,0.0,6.38545186926877e-23,6.625703028294095e-05,0.6978192578081603,0.0
renew100nuc095,-1.0,0.0195287,0.0206486,0.0685940660195,-1.0,-1.0,0.029679,1e-08,1.05e-08,1.0450054999999999e-08,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.2118809029348274,0.7260867027982948,1.3963841000698969,0.0,0.0,0.0,0.0,0.11491410606077648,optimal,0.0,0.04138599887049293,0.0005665357150045236,0.9580474654145026,0.0,0.0,0.0,0.0,0.0,0.0,6.38545186926877e-23,0.2595488801830487,0.4383366346553945,0.0
renew100nuc090,-1.0,0.0195287,0.0206486,0.06498387101950001,-1.0,-1.0,0.029679,1e-08,1.05e-08,9.900055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604073,0.6010742646953489,1.4623023036054066,0.0,0.0,0.0,0.0,0.10973471966613456,optimal,0.0,0.0003747131883929373,0.00029853046196021577,0.9993267563496467,0.0,0.0,0.0,0.0,0.0,0.0,0.022602991886563836,0.21503206538050423,0.4629755472557597,0.0
renew100nuc085,-1.0,0.0195287,0.0206486,0.0613736760195,-1.0,-1.0,0.029679,1e-08,1.05e-08,9.350054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.1176372935660407,0.6010742646953489,1.4623023036054066,0.0,0.0,0.0,0.0,0.10445552265154011,optimal,0.0,0.0003747131883929372,0.0002985304619602159,0.9993267563496467,0.0,0.0,0.0,0.0,0.0,0.0,0.022602991886563832,0.21503206538050423,0.4629755472557597,0.0
renew100nuc080,-1.0,0.0195287,0.0206486,0.0577634810195,-1.0,-1.0,0.029679,1e-08,1.05e-08,8.800054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.1176372935660407,0.6010742646953489,1.4623023036054066,0.0,0.0,0.0,0.0,0.09917632563694688,optimal,0.0,0.0003747131883929372,0.0002985304619602159,0.9993267563496467,0.0,0.0,0.0,0.0,0.0,0.0,0.022602991886563832,0.21503206538050423,0.4629755472557597,0.0
renew100nuc075,-1.0,0.0195287,0.0206486,0.0541532860195,-1.0,-1.0,0.029679,1e-08,1.05e-08,8.250055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604094,0.6010742646953486,1.4623023036054066,0.0,0.0,0.0,0.0,0.09389712862235126,optimal,0.0,0.0003747131883929377,0.00029853046196021545,0.9993267563496467,0.0,0.0,0.0,0.0,0.0,0.0,0.022602991886563877,0.21503206538050415,0.4629755472557597,0.0
renew100nuc070,-1.0,0.0195287,0.0206486,0.0505430910195,-1.0,-1.0,0.029679,1e-08,1.05e-08,7.700054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604026,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.08834238830970564,optimal,0.0,1.4187793684263482e-05,0.0,0.9999858122063158,0.0,0.0,0.0,0.0,0.0,0.0,0.02517909126242538,0.0,0.6980418134071167,0.0
renew100nuc065,-1.0,0.0195287,0.0206486,0.04693289601950001,-1.0,-1.0,0.029679,1e-08,1.05e-08,7.1500550000000005e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604026,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.08221217691586209,optimal,0.0,1.4187793684263482e-05,0.0,0.9999858122063158,0.0,0.0,0.0,0.0,0.0,0.0,0.02517909126242538,0.0,0.6980418134071167,0.0
renew100nuc060,-1.0,0.0195287,0.0206486,0.043322701019500004,-1.0,-1.0,0.029679,1e-08,1.05e-08,6.600055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604026,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.0760819655220195,optimal,0.0,1.4187793684263482e-05,0.0,0.9999858122063158,0.0,0.0,0.0,0.0,0.0,0.0,0.02517909126242538,0.0,0.6980418134071167,0.0
renew100nuc055,-1.0,0.0195287,0.0206486,0.0397125060195,-1.0,-1.0,0.029679,1e-08,1.05e-08,6.050054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.06988315052878857,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597263805114446,0.0
