time (hr),demand (kW),solar capacity factor (kW),wind capacity factor (kW),dispatch solar (kW per unit deployed),dispatch wind (kW per unit deployed),dispatch natgas (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW),price ($/kWh)
0.0,1.0387032264811307,0.00233589,0.489697811,0.00077118756580717,0.32317374586598624,0.0,0.7147582930493371,0.0,0.0,0.1588670062697513,0.0,0.0,0.0,0.0,0.0,0.3286150061641393,0.0,3.850055e-09
1.0,1.042828507922239,0.0,0.497820685,0.0,0.32853439800453016,0.0,0.7142941099177088,0.0,0.0,0.158864842231052,0.0,0.0,0.0,0.0,0.0,0.32907918929576757,0.0,3.850055e-09
2.0,1.0149995439386235,0.0,0.503230723,0.0,0.3321047269021967,0.0,0.6828948170364267,0.0,0.0,0.1588626782218306,0.0,0.0,0.0,0.0,0.0,0.3604784821770497,0.0,3.850055e-09
3.0,0.9965781807332512,0.0,0.509290041,0.0,0.33610354505385304,0.0,0.6604746356793982,0.0,0.0,0.15886051424208666,0.0,0.0,0.0,0.0,0.0,0.38289866353407825,0.0,3.850055e-09
4.0,0.9745299515651223,0.0,0.507399098,0.0,0.3348556261969541,0.0,0.6396743253681683,0.0,0.0,0.15885835029181983,0.0,0.0,0.0,0.0,0.0,0.40369897384530823,0.0,3.850055e-09
5.0,0.9327342160261554,0.0,0.493710266,0.0,0.32582174649686657,0.0,0.6069124695292888,0.0,0.0,0.15885618637102966,0.0,0.0,0.0,0.0,0.0,0.43646082968418765,0.0,3.850055e-09
6.0,0.9095512012868037,0.0,0.469856928,0.0,0.3100798493110785,0.0,0.5994713519757252,0.0,0.0,0.15885402247971578,0.0,0.0,0.0,0.0,0.0,0.4439019472377512,0.0,3.850055e-09
7.0,0.886096726983435,0.0,0.445695679,0.0,0.2941347477224361,0.0,0.591961979260999,0.0,0.0,0.1588518586178778,0.0,0.0,0.0,0.0,0.0,0.4514113199524774,0.0,3.850055e-09
8.0,0.8645980904409468,0.0,0.422016964,0.0,0.27850809215659544,0.0,0.5860899982843513,0.0,0.0,0.15884969478551525,0.0,0.0,0.0,0.0,0.0,0.4572833009291251,0.0,3.850055e-09
9.0,0.8545007175900339,0.0,0.402636474,0.0,0.2657180297766387,0.0,0.5887826878133953,0.0,0.0,0.1588475309826278,0.0,0.0,0.0,0.0,0.0,0.45459061140008117,0.0,3.850055e-09
10.0,0.8507692735001141,0.0,0.39048308,0.0,0.2576974550962156,0.0,0.5930718184038986,0.0,0.0,0.15884536720921502,0.0,0.0,0.0,0.0,0.0,0.4503014808095779,0.0,3.850055e-09
11.0,0.8588841076002471,0.0,0.383414637,0.0,0.25303266969093596,0.0,0.6058514379093113,0.0,0.0,0.15884320346527653,0.0,0.0,0.0,0.0,0.0,0.43752186130416515,0.0,3.850055e-09
12.0,0.8701652183371611,0.001713511,0.370354595,0.0005657108755437155,0.2444137569666005,0.0,0.625185750495017,0.0,0.0,0.1588410397508119,0.0,0.0,0.0,0.0,0.0,0.4181875487184595,0.0,3.850055e-09
13.0,0.8873338658493106,0.022835818,0.353402923,0.007539181595295821,0.2332265814966012,0.0,0.6465681027574137,0.0,0.0,0.1588388760658207,0.0,0.0,0.0,0.0,0.0,0.39680519645606277,0.0,3.850055e-09
14.0,0.9071214232050357,0.07177203,0.351978638,0.023695335443338163,0.2322866313716644,0.0,0.6511394563900332,0.0,0.0,0.15883671241030262,0.0,0.0,0.0,0.0,0.0,0.39223384282344326,0.0,3.850055e-09
15.0,0.9358070396982502,0.156272327,0.35474052,0.051592872721811414,0.23410932228742964,0.0,0.6501048446890092,0.0,0.0,0.15883454878425718,0.0,0.0,0.0,0.0,0.0,0.3932684545244673,0.0,3.850055e-09
16.0,0.9612262510925412,0.254172169,0.355558635,0.0839142323940933,0.23464923339824154,0.0,0.6426627853002064,0.0,0.0,0.158832385187684,0.0,0.0,0.0,0.0,0.0,0.40071051391327,0.0,3.850055e-09
17.0,0.9760051735076591,0.326898601,0.364141626,0.10792466099472119,0.24031353756684654,0.0,0.6277669749460915,0.0,0.0,0.15883022162058266,0.0,0.0,0.0,0.0,0.0,0.41560632426738503,0.0,3.850055e-09
18.0,0.9804174893402825,0.355445266,0.364137457,0.11734926279243542,0.240310786255086,0.0,0.622757440292761,0.0,0.0,0.15882805808295283,0.0,0.0,0.0,0.0,0.0,0.42061585892071546,0.0,3.850055e-09
19.0,0.9750261422109637,0.337477858,0.344982956,0.11141737317460915,0.2276698642429519,0.0,0.6359389047934028,0.0,0.0,0.15882589457479404,0.0,0.0,0.0,0.0,0.0,0.40743439442007373,0.0,3.850055e-09
20.0,0.9625279181006176,0.277657425,0.306721484,0.0916678241330015,0.20241938741656776,0.0,0.6684407065510484,0.0,0.0,0.15882373109610592,0.0,0.0,0.0,0.0,0.0,0.3749325926624281,0.0,3.850055e-09
21.0,0.9547334938794306,0.188480083,0.265579304,0.062226173497854496,0.175267801019763,0.0,0.7172395193618132,0.0,0.0,0.15882156764688807,0.0,0.0,0.0,0.0,0.0,0.3261337798516632,0.0,3.850055e-09
22.0,0.9590301064224136,0.098816494,0.246162472,0.03262398977240316,0.16245375490941485,0.0,0.7639523617405954,0.0,0.0,0.15881940422714005,0.0,0.0,0.0,0.0,0.0,0.279420937472881,0.0,3.850055e-09
