case name,fixed cost natgas ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (kW),capacity factor wind series (kW),capacity natgas (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW)
renew100nuc100,-1.0,0.0195287,0.0206486,0.0624339,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00977,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.2118809029348274,0.7260867027982948,1.3963841000698969,0.0,0.0,0.0,0.0,0.11313711939917251,optimal,0.0,0.04138599887049293,0.26004915886777036,0.6985648422617367,0.0,0.0,0.0,0.0,0.0,0.0,6.38545186926877e-23,6.625703028294095e-05,0.0,0.0
renew100nuc095,-1.0,0.0195287,0.0206486,0.0593125171695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00928154885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.2118809029348274,0.7260867027982947,1.3963841000698969,0.0,0.0,0.0,0.0,0.10843725524387766,optimal,0.0,0.04138599887049293,0.2600491588677703,0.6985648422617368,0.0,0.0,0.0,0.0,0.0,0.0,6.38545186926877e-23,6.625703028294075e-05,0.0,0.0
renew100nuc090,-1.0,0.0195287,0.0206486,0.056190822169500006,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00879304885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604073,0.6010742646953489,1.4623023036054066,0.0,0.0,0.0,0.0,0.10357420898621386,optimal,0.0,0.022977705074956774,0.21533059584246442,0.7616916990825786,0.0,0.0,0.0,0.0,0.0,0.0,3.545233504729994e-23,0.0,0.0,0.0
renew100nuc085,-1.0,0.0195287,0.0206486,0.0530691271695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00830454885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.1176372935660407,0.6010742646953489,1.4623023036054068,0.0,0.0,0.0,0.0,0.09863726080155845,optimal,0.0,0.022977705074956774,0.21533059584246442,0.7616916990825786,0.0,0.0,0.0,0.0,0.0,0.0,3.545233504729994e-23,0.0,0.0,0.0
renew100nuc080,-1.0,0.0195287,0.0206486,0.0499474321695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.007816048849999998,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604095,0.6010742646953486,1.4623023036054066,0.0,0.0,0.0,0.0,0.09370031261690286,optimal,0.0,0.02297770507495682,0.21533059584246436,0.7616916990825787,0.0,0.0,0.0,0.0,0.0,0.0,3.5452335047300015e-23,0.0,0.0,0.0
renew100nuc075,-1.0,0.0195287,0.0206486,0.046825737169500004,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00732754885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604073,0.6010742646953489,1.4623023036054066,0.0,0.0,0.0,0.0,0.08876336443224787,optimal,0.0,0.022977705074956774,0.21533059584246442,0.7616916990825786,0.0,0.0,0.0,0.0,0.0,0.0,3.545233504729994e-23,0.0,0.0,0.0
renew100nuc070,-1.0,0.0195287,0.0206486,0.0437040421695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.0068390488499999996,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604026,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.08339623776517481,optimal,0.0,0.025193279056109644,0.0,0.9748067209438903,0.0,0.0,0.0,0.0,0.0,0.0,-1.128329008663649e-20,0.0,0.0,0.0
renew100nuc065,-1.0,0.0195287,0.0206486,0.0405823471695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00635054885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604026,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.0776193203332545,optimal,0.0,0.025193279056109644,0.0,0.9748067209438903,0.0,0.0,0.0,0.0,0.0,0.0,-1.128329008663649e-20,0.0,0.0,0.0
renew100nuc060,-1.0,0.0195287,0.0206486,0.0374606521695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00586204885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.07178254670383243,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc055,-1.0,0.0195287,0.0206486,0.0343389571695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.005373548849999999,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.06580071766042195,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc050,-1.0,0.0195287,0.0206486,0.031217262169500003,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.0048850488499999995,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.05981888861701105,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc045,-1.0,0.0195287,0.0206486,0.0280955671695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.004396548849999999,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.05383705957360049,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc040,-1.0,0.0195287,0.0206486,0.0249738721695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00390804885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.04785523053018974,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc035,-1.0,0.0195287,0.0206486,0.0218521771695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.0034195488499999998,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.04187340148677933,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc030,-1.0,0.0195287,0.0206486,0.0187304821695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00293104885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.035891572443368346,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc025,-1.0,0.0195287,0.0206486,0.015608787169499998,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.0024425488499999998,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.0299097433999577,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc020,-1.0,0.0195287,0.0206486,0.012487092169499999,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.0019540488499999995,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.02392791435654695,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc015,-1.0,0.0195287,0.0206486,0.0093653971695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00146554885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.017946085313136365,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc010,-1.0,0.0195287,0.0206486,0.0062437021695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00097704885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.011964256269725684,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc005,-1.0,0.0195287,0.0206486,0.0031220071695,-1.0,-1.0,0.029679,1e-08,1.05e-08,0.00048854885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.005982427226315017,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc000,-1.0,0.0195287,0.0206486,6.24339e-10,-1.0,-1.0,0.029679,1e-08,1.05e-08,9.77e-11,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,1.1963658086821433e-09,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew095nuc100,-1.0,0.018552265,0.01961617,0.0624339,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.00977,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.21188090293482728,0.7260867027982949,1.3963841000698969,0.0,0.0,0.0,0.0,0.11218059761792541,optimal,0.0,0.04138599887049291,0.2600491588677704,0.6985648422617367,0.0,0.0,0.0,0.0,0.0,0.0,6.385451869268767e-23,6.62570302829411e-05,0.0,0.0
renew095nuc095,-1.0,0.018552265,0.01961617,0.0593125171695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.00928154885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.2118809029348274,0.7260867027982948,1.3963841000698969,0.0,0.0,0.0,0.0,0.10748073346263154,optimal,0.0,0.04138599887049293,0.26004915886777036,0.6985648422617367,0.0,0.0,0.0,0.0,0.0,0.0,6.38545186926877e-23,6.625703028294095e-05,0.0,0.0
renew095nuc090,-1.0,0.018552265,0.01961617,0.056190822169500006,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.00879304885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.21188090293482728,0.7260867027982949,1.3963841000698969,0.0,0.0,0.0,0.0,0.10278039927391923,optimal,0.0,0.04138599887049291,0.2600491588677704,0.6985648422617367,0.0,0.0,0.0,0.0,0.0,0.0,6.385451869268767e-23,6.62570302829411e-05,0.0,0.0
renew095nuc085,-1.0,0.018552265,0.01961617,0.0530691271695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.00830454885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604094,0.6010742646953486,1.4623023036054066,0.0,0.0,0.0,0.0,0.09790182840317825,optimal,0.0,0.02297770507495682,0.21533059584246436,0.7616916990825787,0.0,0.0,0.0,0.0,0.0,0.0,3.545233504730001e-23,0.0,0.0,0.0
renew095nuc080,-1.0,0.018552265,0.01961617,0.0499474321695,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.007816048849999998,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604095,0.6010742646953486,1.4623023036054066,0.0,0.0,0.0,0.0,0.0929648802185228,optimal,0.0,0.02297770507495682,0.21533059584246436,0.7616916990825787,0.0,0.0,0.0,0.0,0.0,0.0,3.5452335047300015e-23,0.0,0.0,0.0
renew095nuc075,-1.0,0.018552265,0.01961617,0.046825737169500004,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,0.00732754885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604095,0.6010742646953486,1.4623023036054066,0.0,0.0,0.0,0.0,0.08802793203386745,optimal,0.0,0.02297770507495682,0.21533059584246436,0.7616916990825787,0.0,0.0,0.0,0.0,0.0,0.0,3.5452335047300015e-23,0.0,0.0,0.0
