time (hr),demand (kW),solar capacity factor (kW),wind capacity factor (kW),dispatch solar (kW per unit deployed),dispatch wind (kW per unit deployed),dispatch natgas (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW),price ($/kWh)
0.0,1.0387032264811307,0.00233589,0.489697811,0.000504228682895735,0.5010417886291073,0.0,0.5371572091691276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
1.0,1.042828507922239,0.0,0.497820685,0.0,0.5093528311258214,0.0,0.5334756767964176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
2.0,1.0149995439386235,0.0,0.503230723,0.0,0.5148881940684004,0.0,0.500111349870223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
3.0,0.9965781807332512,0.0,0.509290041,0.0,0.5210878777516761,0.0,0.47549030298157513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
4.0,0.9745299515651223,0.0,0.507399098,0.0,0.5191531305634439,0.0,0.45537682100167837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
5.0,0.9327342160261554,0.0,0.493710266,0.0,0.5051471931966475,0.0,0.42758702282950795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
6.0,0.9095512012868037,0.0,0.469856928,0.0,0.4807412863948818,0.0,0.42880991489192194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
7.0,0.886096726983435,0.0,0.445695679,0.0,0.4560203357544199,0.0,0.43007639122901514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
8.0,0.8645980904409468,0.0,0.422016964,0.0,0.43179309714003516,0.0,0.4328049933009116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
9.0,0.8545007175900339,0.0,0.402636474,0.0,0.41196365302984184,0.0,0.4425370645601921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
10.0,0.8507692735001141,0.0,0.39048308,0.0,0.3995287224851466,0.0,0.4512405510149675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
11.0,0.8588841076002471,0.0,0.383414637,0.0,0.3922965371578104,0.0,0.4665875704424368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
12.0,0.8701652183371611,0.001713511,0.370354595,0.0003698810280695383,0.37893395587551165,0.0,0.49086138143357994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
13.0,0.8873338658493106,0.022835818,0.353402923,0.004929373571951897,0.36158959396833956,0.0,0.5208148983090193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
14.0,0.9071214232050357,0.07177203,0.351978638,0.015492816937292929,0.36013231503450005,0.0,0.5314962912332428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
15.0,0.9358070396982502,0.156272327,0.35474052,0.03373317648359366,0.3629581767520288,0.0,0.5391156864626278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
16.0,0.9612262510925412,0.254172169,0.355558635,0.05486598170445618,0.36379524359957555,0.0,0.5425650257885095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
17.0,0.9760051735076591,0.326898601,0.364141626,0.07056481727422456,0.3725770618267098,0.0,0.5328632944067249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
18.0,0.9804174893402825,0.355445266,0.364137457,0.07672694275702373,0.37257279625073647,0.0,0.5311177503325223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
19.0,0.9750261422109637,0.337477858,0.344982956,0.07284847139454935,0.35297457623472334,0.0,0.5492030945816911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
20.0,0.9625279181006176,0.277657425,0.306721484,0.05993554392714183,0.31382676724755487,0.0,0.588765606925921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
21.0,0.9547334938794306,0.188480083,0.265579304,0.04068559050433402,0.27173151790754774,0.0,0.642316385467549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
22.0,0.9590301064224136,0.098816494,0.246162472,0.021330675082300236,0.25186488992543715,0.0,0.6858345414146761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
23.0,0.9907974459177648,0.032117527,0.237900573,0.006932937054860549,0.24341160187830516,0.0,0.740452906984599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
24.0,1.0242981159247575,0.002538671,0.229780602,0.0005480012905725863,0.23510352963034387,0.0,0.788646585003841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
25.0,1.0374215849654975,0.0,0.220649176,0.0,0.2257605717632638,0.0,0.8116610132022337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
26.0,1.0358128590733873,0.0,0.211841671,0.0,0.21674903861070943,0.0,0.8190638204626779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
27.0,1.0288239102145107,0.0,0.207879237,0.0,0.21269481379269245,0.0,0.8161290964218184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
28.0,1.0030397872914412,0.0,0.203906823,0.0,0.20863037778537014,0.0,0.7944094095060711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
29.0,0.9681773737990412,0.0,0.201541219,0.0,0.2062099739511611,0.0,0.7619673998478801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
30.0,0.9301553591673162,0.0,0.201282033,0.0,0.20594478383980971,0.0,0.7242105753275064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
31.0,0.9052857393987411,0.0,0.200577512,0.0,0.20522394242692713,0.0,0.7000617969718139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
32.0,0.8833954903375748,0.0,0.198750371,0.0,0.2033544752286807,0.0,0.6800410151088941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
33.0,0.8748245165764875,0.0,0.194935883,0.0,0.1994516236183755,0.0,0.6753728929581121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
34.0,0.8725949954190043,0.0,0.18841669,0.0,0.19278141181067282,0.0,0.6798135836083314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
35.0,0.8826723427774739,0.0,0.182074203,0.0,0.18629199944358985,0.0,0.696380343333884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
36.0,0.9052746142362642,0.001415965,0.177347563,0.000305652306819439,0.18145586559408428,0.0,0.7235130963353604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
37.0,0.9359138426579239,0.017568687,0.170622935,0.003792402855535758,0.1745754598309771,0.0,0.757545979971411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
38.0,0.9678614135851162,0.062129364,0.169864624,0.013411336740544157,0.17379958235870238,0.0,0.7806504944858697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
39.0,0.9907507194354216,0.14318285,0.164084492,0.030907662547790173,0.16788555209199915,0.0,0.7919575047956323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
40.0,1.0022565622540849,0.234548752,0.147893711,0.05063004178099071,0.15131970742347525,0.0,0.8003068130496189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
41.0,0.9992037640744335,0.296758301,0.14401171,0.06405868737466493,0.14734777885690056,0.0,0.787797297842868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
42.0,0.9871639044575523,0.320494619,0.156967557,0.06918244421335781,0.16060375143482386,0.0,0.7573777088093707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
43.0,0.969151954430791,0.304419603,0.172000664,0.06571246739715163,0.17598510428292297,0.0,0.7274543827507164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
44.0,0.9508373941850924,0.251614996,0.17535338,0.054313986544698434,0.179415486824301,0.0,0.7171079208160929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
45.0,0.9368394729747449,0.172985408,0.166654961,0.03734088695787102,0.17051556667741388,0.0,0.7289830193394601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
46.0,0.9431653497509264,0.091169057,0.179700033,0.01967988797929534,0.18386283117575464,0.0,0.7396226305958765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
47.0,0.9829852210366447,0.029465672,0.215774883,0.006360503698032757,0.2207733644934679,0.0,0.755851352845144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
48.0,1.0274532663991371,0.002473826,0.243586308,0.000534003752613875,0.24922904841386076,0.0,0.7776902142326625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
49.0,1.0446797665560315,0.0,0.257673726,0.0,0.2636428051293995,0.0,0.7810369614266319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
50.0,1.0473298260546027,0.0,0.263541403,0.0,0.2696464083988817,0.0,0.7776834176557209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
51.0,1.0399537163419181,0.0,0.272605825,0.0,0.27892081010081016,0.0,0.7610329062411079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
52.0,1.0156559395239382,0.0,0.285219308,0.0,0.2918264877272981,0.0,0.7238294517966402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
53.0,0.9833123064130467,0.0,0.297550629,0.0,0.3044434669973967,0.0,0.6788688394156499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
54.0,0.951237907033737,0.0,0.310868656,0.0,0.3180700095695684,0.0,0.6331678974641687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
55.0,0.921653362213526,0.0,0.323241607,0.0,0.33072958320948465,0.0,0.5909237790040414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
56.0,0.9009401755409047,0.0,0.330241406,0.0,0.3378915343806412,0.0,0.5630486411602634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
57.0,0.8897480681036559,0.0,0.32827468,0.0,0.33587924865943053,0.0,0.5538688194442254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
58.0,0.8864861146696028,0.0,0.330211947,0.0,0.3378613929552158,0.0,0.548624721714387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
59.0,0.89241370342965,0.0,0.341347121,0.0,0.34925451616780107,0.0,0.543159187261849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
60.0,0.9104901805986874,0.001272851,0.357111944,0.00027475950633485275,0.3653845354080572,0.0,0.5448308856842954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
61.0,0.936029546947489,0.014252582,0.37769866,0.0030765835076666543,0.38644814805843,0.0,0.5465048153813924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
62.0,0.9643836273993557,0.052395652,0.39792228,0.011310203219082783,0.40714025349517535,0.0,0.5459331706850976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
63.0,0.979892372872031,0.128039497,0.424293976,0.02763879588976468,0.43412285671743694,0.0,0.5181307202648293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
64.0,0.9790334955299214,0.219209187,0.472447659,0.04731882050937967,0.483392032354816,0.0,0.4483226426657257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
65.0,0.9688515700442887,0.284974142,0.527448059,0.0615149413200117,0.539666530978859,0.0,0.36767009774541803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
66.0,0.9593015649865059,0.314785893,0.569779834,0.06795015014471904,0.5829789325975888,0.0,0.30837248224419794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
67.0,0.9512557076936701,0.306460247,0.602365716,0.06615296384021149,0.6163196750607751,0.0,0.26878306879268343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
68.0,0.9406554696993844,0.261762084,0.624470718,0.05650435202315295,0.6389367452026916,0.0,0.2452143724735398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
69.0,0.9327275415286239,0.188926791,0.61776638,0.04078201755632663,0.6320770994627312,0.0,0.2598684245095661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
70.0,0.9456596539750458,0.103850898,0.572901651,0.02241740900302639,0.5861730673033549,0.0,0.33706917766866445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
71.0,0.9893155484777718,0.032824888,0.550211148,0.007085629050357687,0.5629569328779264,0.0,0.4192729865494878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
72.0,1.0341930070188754,0.002419713,0.562043837,0.0005223228401062069,0.5750637292075754,0.0,0.45860695497119375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
73.0,1.0572981446209633,0.0,0.574594873,0.0,0.5879055132330063,0.0,0.4693926313879569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
74.0,1.0624514096735456,0.0,0.585923217,0.0,0.5994962812790695,0.0,0.46295512839447606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
75.0,1.0458212286246351,0.0,0.604489555,0.0,0.6184927133456456,0.0,0.4273285152789895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
76.0,1.0080817977194794,0.0,0.615647488,0.0,0.6299091227764072,0.0,0.37817267494307216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
77.0,0.9630730600613127,0.0,0.622879539,0.0,0.6373087061257741,0.0,0.3257643539355386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
78.0,0.9386640306186377,0.0,0.626641967,0.0,0.6411582917525886,0.0,0.2975057388660491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
79.0,0.914141522718833,0.0,0.630656887,0.0,0.6452662184224973,0.0,0.2688753042963357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
80.0,0.900092423361272,0.0,0.62957607,0.0,0.6441603640145414,0.0,0.2559320593467307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
81.0,0.8976648711119394,0.0,0.618736242,0.0,0.633069428569147,0.0,0.2645954425427922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
82.0,0.9086811977822924,0.0,0.611579381,0.0,0.6257467770157589,0.0,0.28293442076653347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
83.0,0.9438506711586508,0.0,0.606348949,0.0,0.6203951806930568,0.0,0.32345549046559413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
84.0,1.0193540081264267,0.000950061,0.595290687,0.00020508157777147248,0.6090807511670295,0.0,0.4100681753816257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
85.0,1.0907498633131025,0.012682659,0.57384523,0.0027376975984253283,0.5871385045572145,0.0,0.5008736611574627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
86.0,1.1203210581383263,0.061593389,0.578759288,0.01329564038141978,0.5921663979936163,0.0,0.5148590197632902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
87.0,1.1254854473534608,0.153015297,0.615080004,0.033030109152918034,0.6293284928614036,0.0,0.4631268453391391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
88.0,1.1241926816752754,0.244685667,0.597628653,0.05281821130056399,0.6114728767597537,0.0,0.45990159361495775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
89.0,1.1125021577597503,0.30948573,0.602385433,0.06680604909174878,0.6163398488102273,0.0,0.42935625985777415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
90.0,1.0982906296301305,0.337022519,0.626576773,0.07275018124208453,0.6410915875165596,0.0,0.3844488608714864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
91.0,1.0859125584744456,0.32573666,0.647302348,0.07031399896512928,0.662297275871917,0.0,0.35330128363739927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
92.0,1.0758196362884782,0.275944671,0.653644392,0.059565826306216006,0.6687862349767894,0.0,0.3474675750054728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
93.0,1.068610406012798,0.193942298,0.637292793,0.04186467234258126,0.6520558469173132,0.0,0.3746898867529036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
94.0,1.0789347357779706,0.098901139,0.589809497,0.021348946677650922,0.603472587969796,0.0,0.4541132011305236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
95.0,1.1218563565581938,0.027833821,0.550211954,0.006008249918782841,0.5629577575491268,0.0,0.5528903490902842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
96.0,1.1748909260167526,0.002156788,0.538069891,0.0004655674593090114,0.5505344204900047,0.0,0.6238909380674391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
97.0,1.199607015343386,0.0,0.522880194,0.0,0.5349928501936771,0.0,0.6646141651497088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
98.0,1.2010288353061236,0.0,0.503423333,0.0,0.5150852659293319,0.0,0.6859435693767918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
99.0,1.1835509020775805,0.0,0.489301011,0.0,0.5006357966535213,0.0,0.6829151054240593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
100.0,1.1391206828674647,0.0,0.487969776,0.0,0.49927372324722286,0.0,0.6398469596202417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
101.0,1.0842593309325026,0.0,0.489826744,0.0,0.5011737083957107,0.0,0.5830856225367919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
102.0,1.0461905898184343,0.0,0.497774706,0.0,0.5093057870102834,0.0,0.5368848028081509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
103.0,1.0227761674998777,0.0,0.511459543,0.0,0.523307636831862,0.0,0.49946853066801566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
104.0,1.0073786756518217,0.0,0.528502313,0.0,0.5407452070479856,0.0,0.46663346860383614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
105.0,1.0035426534347387,0.0,0.534799378,0.0,0.547188145202581,0.0,0.4563545082321577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
106.0,1.0148882903140044,0.0,0.540270299,0.0,0.5527858015157486,0.0,0.4621024887982557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
107.0,1.0521115040809503,0.0,0.551112948,0.0,0.5638796233103444,0.0,0.488231880770606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
108.0,1.1271275507328513,0.001690679,0.555495082,0.00036495247865673397,0.5683632705884254,0.0,0.5583993276657692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
109.0,1.1961915314673912,0.024912119,0.565819454,0.0053775669879625385,0.5789268093610181,0.0,0.6118871551184104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
110.0,1.2196682560957137,0.093364711,0.596866276,0.020153845111058714,0.6106928390975275,0.0,0.5888215718871275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
111.0,1.1997427441254698,0.193768984,0.605403039,0.041827260525266495,0.6194273584409737,0.0,0.5384881251592295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
112.0,1.18150828684947,0.293105831,0.602004604,0.06327025977858113,0.6159501978070256,0.0,0.5022878292638632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
113.0,1.1555083321746178,0.360692119,0.613561122,0.07785953623425833,0.6277744255633643,0.0,0.4498743703769951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
114.0,1.1284269919084926,0.384479665,0.631576163,0.08299435122507628,0.6462067896910174,0.0,0.39922585099239893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
115.0,1.1084414034609178,0.362417233,0.630484089,0.07823192190313187,0.6450894175117178,0.0,0.38512006404606813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
116.0,1.0908166152878893,0.298815146,0.602883171,0.06450268098963424,0.6168491170409335,0.0,0.40946481725732153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
117.0,1.080401057390541,0.204606582,0.554438481,0.04416668051734379,0.5672821931504312,0.0,0.4689521837227659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
118.0,1.090654185515906,0.103337257,0.510791093,0.022306533694295565,0.5226237020131109,0.0,0.5457239498084996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
119.0,1.1161512750473852,0.030003803,0.502564386,0.006476665454517593,0.5142064211978458,0.0,0.595468188395022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
