case name,fixed cost natgas ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (kW),capacity factor wind series (kW),capacity natgas (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW)
renew100nuc100,-1.0,0.0195287,0.0206486,0.0624339,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.00977,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.3258908748342235,0.6587378401852443,1.044962505978089,2.148724964513331,0.0,0.0,0.0,0.09554659549731533,optimal,0.0,0.06365519115208652,0.2359881631314906,0.7010486118285526,0.00690894251117935,0.006216976399049642,0.07868775643068167,0.0,0.0,0.0,9.821368830620434e-23,0.0,0.0,0.0
renew100nuc095,-1.0,0.0195287,0.0206486,0.0593125171695,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.00928154885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.20418767267544907,0.6175039966253156,1.0933274036680987,2.084060708021098,0.0,0.0,0.0,0.09183552338866326,optimal,0.0,0.039883305544124545,0.2212164308778487,0.739576295310569,0.006752155661397228,0.006076123928854798,0.059916633218278184,0.0,0.0,0.0,6.153601094328601e-23,0.0,0.0,0.0
renew100nuc090,-1.0,0.0195287,0.0206486,0.056190822169500006,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.00879304885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.10214292844465736,0.5126257279377567,1.1551940584697846,2.1027059760063853,0.0,0.0,0.0,0.08791500166286846,optimal,0.0,0.019951241771608383,0.18364453433547306,0.7970722560388903,0.006672771096099989,0.006004738950128205,0.05542893778221313,0.0,0.0,0.0,3.0782800353184406e-23,0.0,0.0,0.0
renew100nuc085,-1.0,0.0195287,0.0206486,0.0530691271695,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.00830454885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.07218035496213765,0.5058155427678267,1.1651521840436507,2.1664949062999175,0.0,0.0,0.0,0.08389489784236362,optimal,0.0,0.014098750984904289,0.18120483375840413,0.8053934243385621,0.006962224327053785,0.006265215245183102,0.05774970563927142,0.0,0.0,0.0,2.1752983687219562e-23,0.0,0.0,0.0
renew100nuc080,-1.0,0.0195287,0.0206486,0.0499474321695,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.007816048849999998,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.5012963141681738,1.187249830188791,2.3163158895568667,0.0,0.0,0.0,0.0798319004009828,optimal,0.0,0.0,0.17958585213788036,0.8211976980796795,0.007826772021447716,0.0070432218038878665,0.0640900486047799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc075,-1.0,0.0195287,0.0206486,0.046825737169500004,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.00732754885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.0755143746878138,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc070,-1.0,0.0195287,0.0206486,0.0437040421695,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.0068390488499999996,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.07072919475642188,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc065,-1.0,0.0195287,0.0206486,0.0405823471695,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.00635054885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.06594401482503032,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc060,-1.0,0.0195287,0.0206486,0.0374606521695,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.00586204885,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.06115883489363502,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renew100nuc055,-1.0,0.0195287,0.0206486,0.0343389571695,0.00162423,-1.0,0.029679,1e-08,1.05e-08,0.005373548849999999,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1.36217e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.376345004010285,2.3002882590069635,0.0,0.0,0.0,0.05637365496224218,optimal,0.0,0.0,0.0,1.000308319547674,0.0030804686194632488,0.002772149071789073,0.020018479914474408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
