time (hr),demand (kW),solar capacity factor (kW),wind capacity factor (kW),dispatch solar (kW per unit deployed),dispatch wind (kW per unit deployed),dispatch natgas (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW),price ($/kWh)
0.0,1.0387032264811307,0.00233589,0.489697811,0.0007612452356165146,0.32258247836158094,0.0,0.7153595028839332,0.0,0.0,0.14572043775955243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
1.0,1.042828507922239,0.0,0.497820685,0.0,0.3279333228364378,0.0,0.7148951850858013,0.0,0.0,0.14571845279946538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
2.0,1.0149995439386235,0.0,0.503230723,0.0,0.33149711958387795,0.0,0.6835024243547455,0.0,0.0,0.1457164678664169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
3.0,0.9965781807332512,0.0,0.509290041,0.0,0.3354886216361934,0.0,0.6610895590970579,0.0,0.0,0.14571448296040657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
4.0,0.9745299515651223,0.0,0.507399098,0.0,0.3342429859284601,0.0,0.6402869656366622,0.0,0.0,0.14571249808143402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
5.0,0.9327342160261554,0.0,0.493710266,0.0,0.3252256343021214,0.0,0.6075085817240339,0.0,0.0,0.1457105132294989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
6.0,0.9095512012868037,0.0,0.469856928,0.0,0.30951253794679284,0.0,0.6000386633400109,0.0,0.0,0.14570852840460086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
7.0,0.886096726983435,0.0,0.445695679,0.0,0.29359660896435497,0.0,0.5925001180190801,0.0,0.0,0.1457065436067395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
8.0,0.8645980904409468,0.0,0.422016964,0.0,0.2779985433868931,0.0,0.5865995470540537,0.0,0.0,0.14570455883591446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
9.0,0.8545007175900339,0.0,0.402636474,0.0,0.2652318812625614,0.0,0.5892688363274725,0.0,0.0,0.14570257409212536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
10.0,0.8507692735001141,0.0,0.39048308,0.0,0.2572259807480811,0.0,0.593543292752033,0.0,0.0,0.14570058937537186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
11.0,0.8588841076002471,0.0,0.383414637,0.0,0.25256972987278864,0.0,0.6063143777274584,0.0,0.0,0.14569860468565357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
12.0,0.8701652183371611,0.001713511,0.370354595,0.0005584175988280652,0.2439665860129801,0.0,0.6256402147253529,0.0,0.0,0.14569662002297012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
13.0,0.8873338658493106,0.022835818,0.353402923,0.007441984705575109,0.23279987821217143,0.0,0.6470920029315642,0.0,0.0,0.14569463538732116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
14.0,0.9071214232050357,0.07177203,0.351978638,0.02338984964532814,0.23186164778746324,0.0,0.6518699257722443,0.0,0.0,0.14569265077870633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
15.0,0.9358070396982502,0.156272327,0.35474052,0.05092772535840985,0.2336810039709897,0.0,0.6511983103688506,0.0,0.0,0.1456906661971252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
16.0,0.9612262510925412,0.254172169,0.355558635,0.08283239051392212,0.23421992727911287,0.0,0.6441739332995063,0.0,0.0,0.14568868164257748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
17.0,0.9760051735076591,0.326898601,0.364141626,0.1065332710619738,0.23987386823278223,0.0,0.6295980342129032,0.0,0.0,0.14568669711506274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
18.0,0.9804174893402825,0.355445266,0.364137457,0.1158363686924233,0.2398711219547265,0.0,0.6247099986931326,0.0,0.0,0.14568471261458066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
19.0,0.9750261422109637,0.337477858,0.344982956,0.10998095438079988,0.22725332733616044,0.0,0.6377918604940034,0.0,0.0,0.14568272814113084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
20.0,0.9625279181006176,0.277657425,0.306721484,0.09048602113746781,0.20204904790857228,0.0,0.6699928490545776,0.0,0.0,0.14568074369471293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
21.0,0.9547334938794306,0.188480083,0.265579304,0.061423939137697066,0.17494713711485987,0.0,0.7183624176268738,0.0,0.0,0.14567875927532653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
22.0,0.9590301064224136,0.098816494,0.246162472,0.03220339367771081,0.16215653513994016,0.0,0.7646701776047625,0.0,0.0,0.14567677488297132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
23.0,0.9907974459177648,0.032117527,0.237900573,0.010466808971541796,0.15671410963685153,0.0,0.8236165273093714,0.0,0.0,0.14567479051764687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
24.0,1.0242981159247575,0.002538671,0.229780602,0.0008273297131062733,0.15136517747794473,0.0,0.8721056087337065,0.0,0.0,0.1456728061793529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
25.0,1.0374215849654975,0.0,0.220649176,0.0,0.14534996163689337,0.0,0.8920716233286042,0.0,0.0,0.145670821868089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
26.0,1.0358128590733873,0.0,0.211841671,0.0,0.13954812481577267,0.0,0.8962647342576147,0.0,0.0,0.14566883758385477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
27.0,1.0288239102145107,0.0,0.207879237,0.0,0.1369379196007361,0.0,0.8918859906137746,0.0,0.0,0.14566685332664983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
28.0,1.0030397872914412,0.0,0.203906823,0.0,0.13432114018205446,0.0,0.8687186471093867,0.0,0.0,0.1456648690964739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
29.0,0.9681773737990412,0.0,0.201541219,0.0,0.1327628273123609,0.0,0.8354145464866805,0.0,0.0,0.14566288489332652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
30.0,0.9301553591673162,0.0,0.201282033,0.0,0.13259209168651465,0.0,0.7975632674808015,0.0,0.0,0.14566090071720736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
31.0,0.9052857393987411,0.0,0.200577512,0.0,0.1321279970446095,0.0,0.7731577423541316,0.0,0.0,0.14565891656811605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
32.0,0.8833954903375748,0.0,0.198750371,0.0,0.1309243901285556,0.0,0.7524711002090193,0.0,0.0,0.14565693244605224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
33.0,0.8748245165764875,0.0,0.194935883,0.0,0.12841164254202306,0.0,0.7464128740344644,0.0,0.0,0.14565494835101556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
34.0,0.8725949954190043,0.0,0.18841669,0.0,0.12411720342545232,0.0,0.748477791993552,0.0,0.0,0.14565296428300561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
35.0,0.8826723427774739,0.0,0.182074203,0.0,0.11993916723766934,0.0,0.7627331755398046,0.0,0.0,0.14565098024202203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
36.0,0.9052746142362642,0.001415965,0.177347563,0.00046145007258464134,0.11682555061273618,0.0,0.7879876135509434,0.0,0.0,0.1456489962280645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
37.0,0.9359138426579239,0.017568687,0.170622935,0.005725474776118651,0.11239578368796696,0.0,0.8177925841938383,0.0,0.0,0.14564701224113258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
38.0,0.9678614135851162,0.062129364,0.169864624,0.020247392786853915,0.11189625553763824,0.0,0.835717765260624,0.0,0.0,0.1456450282812259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
39.0,0.9907507194354216,0.14318285,0.164084492,0.04666198424775741,0.10808866386797265,0.0,0.8360000713196916,0.0,0.0,0.14564304434834419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
40.0,1.0022565622540849,0.234548752,0.147893711,0.07643729798055535,0.09742318376112041,0.0,0.8283960805124092,0.0,0.0,0.14564106044248698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
41.0,0.9992037640744335,0.296758301,0.14401171,0.09671082232720785,0.09486596280678343,0.0,0.8076269789404421,0.0,0.0,0.14563907656365394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
42.0,0.9871639044575523,0.320494619,0.156967557,0.10444627176557117,0.10340046947733389,0.0,0.7793171632146474,0.0,0.0,0.1456370927118447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
43.0,0.969151954430791,0.304419603,0.172000664,0.09920757073835702,0.11330334591378753,0.0,0.7566410377786464,0.0,0.0,0.1456351088870589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
44.0,0.9508373941850924,0.251614996,0.17535338,0.08199903116784965,0.11551190681038205,0.0,0.7533264562068607,0.0,0.0,0.14563312508929618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
45.0,0.9368394729747449,0.172985408,0.166654961,0.0563743659466751,0.10978192906529576,0.0,0.7706831779627741,0.0,0.0,0.14563114131855615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
46.0,0.9431653497509264,0.091169057,0.179700033,0.029711163743541196,0.11837521161963675,0.0,0.7950789743877485,0.0,0.0,0.14562915757483846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
47.0,0.9829852210366447,0.029465672,0.215774883,0.009602593625658285,0.14213908039364334,0.0,0.831243547017343,0.0,0.0,0.14562717385814272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
48.0,1.0274532663991371,0.002473826,0.243586308,0.000806197319327648,0.16045951843061718,0.0,0.8661875506491923,0.0,0.0,0.1456251901684686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
49.0,1.0446797665560315,0.0,0.257673726,0.0,0.16973943373772388,0.0,0.8749403328183076,0.0,0.0,0.14562320650581567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
50.0,1.0473298260546027,0.0,0.263541403,0.0,0.17360469461160852,0.0,0.8737251314429941,0.0,0.0,0.14562122287018361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
51.0,1.0399537163419181,0.0,0.272605825,0.0,0.1795757723824161,0.0,0.860377943959502,0.0,0.0,0.14561923926157205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
52.0,1.0156559395239382,0.0,0.285219308,0.0,0.18788475093104937,0.0,0.8277711885928889,0.0,0.0,0.14561725567998063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
53.0,0.9833123064130467,0.0,0.297550629,0.0,0.1960078586932203,0.0,0.7873044477198263,0.0,0.0,0.14561527212540892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
54.0,0.951237907033737,0.0,0.310868656,0.0,0.20478094703472904,0.0,0.7464569599990081,0.0,0.0,0.14561328859785663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
55.0,0.921653362213526,0.0,0.323241607,0.0,0.21293147805318685,0.0,0.7087218841603391,0.0,0.0,0.14561130509732334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
56.0,0.9009401755409047,0.0,0.330241406,0.0,0.2175425105281777,0.0,0.6833976650127269,0.0,0.0,0.14560932162380869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
57.0,0.8897480681036559,0.0,0.32827468,0.0,0.21624695369070152,0.0,0.6735011144129543,0.0,0.0,0.1456073381773123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
58.0,0.8864861146696028,0.0,0.330211947,0.0,0.21752310477014367,0.0,0.6689630098994591,0.0,0.0,0.14560535475783387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
59.0,0.89241370342965,0.0,0.341347121,0.0,0.2248582652409905,0.0,0.6675554381886596,0.0,0.0,0.14560337136537296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
60.0,0.9104901805986874,0.001272851,0.357111944,0.0004148105259236163,0.23524315069491317,0.0,0.6748322193778505,0.0,0.0,0.14560138799992922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
61.0,0.936029546947489,0.014252582,0.37769866,0.004644786416626508,0.24880439952926015,0.0,0.6825803610016025,0.0,0.0,0.1455994046615023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
62.0,0.9643836273993557,0.052395652,0.39792228,0.017075264867789534,0.2621264632887872,0.0,0.685181899242779,0.0,0.0,0.14559742135009185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
63.0,0.979892372872031,0.128039497,0.424293976,0.041726903690663945,0.279498497353849,0.0,0.6586669718275181,0.0,0.0,0.14559543806569744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
64.0,0.9790334955299214,0.219209187,0.472447659,0.0714382737231289,0.3112191504902338,0.0,0.5963760713165586,0.0,0.0,0.14559345480831876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
65.0,0.9688515700442887,0.284974142,0.527448059,0.09287047244151225,0.34744999519555825,0.0,0.5285311024072182,0.0,0.0,0.1455914715779554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
66.0,0.9593015649865059,0.314785893,0.569779834,0.10258585005524229,0.3753355372302658,0.0,0.4813801777009977,0.0,0.0,0.14558948837460703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
67.0,0.9512557076936701,0.306460247,0.602365716,0.09987259799674225,0.396801090759477,0.0,0.45458201893745076,0.0,0.0,0.14558750519827324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
68.0,0.9406554696993844,0.261762084,0.624470718,0.08530587455318951,0.41136249203424746,0.0,0.4439871031119474,0.0,0.0,0.14558552204895367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
69.0,0.9327275415286239,0.188926791,0.61776638,0.06156951719861252,0.4069460909002556,0.0,0.4642119334297558,0.0,0.0,0.145583538926648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
70.0,0.9456596539750458,0.103850898,0.572901651,0.03384406000153972,0.3773919962182994,0.0,0.5344235977552068,0.0,0.0,0.14558155583135576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
71.0,0.9893155484777718,0.032824888,0.550211148,0.01069733146665541,0.3624449032793627,0.0,0.6161733137317538,0.0,0.0,0.14557957276307673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
72.0,1.0341930070188754,0.002419713,0.562043837,0.0007885623864177435,0.37023954327480635,0.0,0.6631649013576514,0.0,0.0,0.14557758972181042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
73.0,1.0572981446209633,0.0,0.574594873,0.0,0.3785073856215335,0.0,0.6787907589994296,0.0,0.0,0.1455756067075565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
74.0,1.0624514096735456,0.0,0.585923217,0.0,0.385969794480969,0.0,0.6764816151925765,0.0,0.0,0.14557362372031463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
75.0,1.0458212286246351,0.0,0.604489555,0.0,0.39820014387523817,0.0,0.647621084749397,0.0,0.0,0.14557164076008441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
76.0,1.0080817977194794,0.0,0.615647488,0.0,0.40555029656058983,0.0,0.6025315011588895,0.0,0.0,0.14556965782686548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
77.0,0.9630730600613127,0.0,0.622879539,0.0,0.4103143222164393,0.0,0.5527587378448733,0.0,0.0,0.14556767492065747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
78.0,0.9386640306186377,0.0,0.626641967,0.0,0.41279277591101177,0.0,0.525871254707626,0.0,0.0,0.14556569204146003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
79.0,0.914141522718833,0.0,0.630656887,0.0,0.41543755564032836,0.0,0.4987039670785046,0.0,0.0,0.14556370918927272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
80.0,0.900092423361272,0.0,0.62957607,0.0,0.41472558058411285,0.0,0.48536684277715925,0.0,0.0,0.14556172636409528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
81.0,0.8976648711119394,0.0,0.618736242,0.0,0.4075849756994133,0.0,0.490079895412526,0.0,0.0,0.14555974356592727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
82.0,0.9086811977822924,0.0,0.611579381,0.0,0.40287048054176733,0.0,0.5058107172405251,0.0,0.0,0.14555776079476834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00830454885
